2,Nguyen Van An,an@lib.com,An12345,1001
2,Tran Thi Binh,binh@lib.com,Binh123,1002
3,Le Van Long,long@sv.com,Lo123,SV001,IT1,65
3,Pham Thi Hong,hong@sv.com,Hong123,SV002,CNTT2,a
3,Hoang Minh Duc,duc@sv.com,Duc123,SV003,IT1,65
2,Dang Ngoc Han,han@lib.com,han12345,1003
3,Vu Dinh Nam,nam@sv.com,Nam123,SV004,DTVT1,63
3,Trinh Hoai Anh,anh.th@sv.com,Anh12345,SV005,KE TOAN 1,62
3,Bui Van Kien,kien.bv@sv.com,Kien1234,SV006,IT3,65
2,Mai Phuong Thuy,thuy.mp@lib.com,Thuy123,1004
3,Do Quang Vinh,vinh.dq@sv.com,Vinh,SV007,CNTT5,64
3,Nguyen Thi Lan,lan.nt@svcom,Lan12345,SV008,QTKD1,63
2,Le Minh Tuan,tuan.lm@lib.com,Tuan123,1005
3,Tran Van Thanh,thanh.tv@sv.com,Thanh123,SV009,IT1,65
3,Ngo Bao Chau,chau.nb@sv.com,Chau123,SV010,TOAN TIN,62
2,nguyen tuan tu,tu@lib.com,Tu12345,1
3,Le Thanh Hoa,hoa@lib.com,Hoa123,24123066,it5,65
